rxn_id,rxn_type,rxn_date,temperature_deg_c,time_h,startingmat_1_name,startingmat_1_smiles,startingmat_1_eq,startingmat_2_name,startingmat_2_smiles,startingmat_2_eq,reagent_1_name,reagent_1_smiles,reagent_1_eq,catalyst_name,catalyst_smiles,catalyst_eq,solvent_1_name,solvent_1_smiles,solvent_1_fraction,startingmat_1_area%,product_1_name,product_1_smiles,product_1_area%,suff_yield,contains_water,additives_name_merged,additives_smiles_merged,additives_fraction_merged,YieldCategory
ELN032036-538_1_1_A1,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.3019428421057229,KOH,[OH-].[K+],2.100709189390856,GPhos,COc1ccc(OC(C)(C)C)c2c1[C]3(=C(C=CC=C3C(C)C)C(C)C)[Pd](Br)(c4ccc(cc4)C(F)(F)F)P2(C5CCCCC5)C6CCCCC6,0.084399135476205,tAmOH,CCC(C)(C)O,1.0,0.0,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.7449543993032143,1,True,NoAdditive,NoAdditive,"frozenset({nan, nan})",HighYield
ELN032036-538_1_1_A2,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.1699202679021965,KOH,[OH-].[K+],2.0574713754690523,BINAP,Cl[Pd]1(CC=C)[P](C(C=CC2=C3C=CC=C2)=C3C4=C(C=CC=C5)C5=CC=C4[P](C6=CC=CC=C6)1C7=CC=CC=C7)(C8=CC=CC=C8)C9=CC=CC=C9,0.0628962373226516,tAmOH,CCC(C)(C)O,1.0,0.4536424654458478,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.0,0,True,NoAdditive,NoAdditive,"frozenset({nan, nan})",VLowYield
ELN032036-538_1_1_A3,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.2113002204012588,KOH,[OH-].[K+],2.0860960685297325,AlPhos,nF2,0.096392561384148,tAmOH,CCC(C)(C)O,1.0,0.4645414346174003,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.0,0,True,NoAdditive,NoAdditive,"frozenset({nan, nan})",VLowYield
ELN032036-538_1_1_A4,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.188263326351588,KOH,[OH-].[K+],2.089730255611245,BrettPhos,C/C=C/C[Pd](OS(=O)(C(F)(F)F)=O)[P](C1=C(C2=C(C(C)C)C=C(C(C)C)C=C2C(C)C)C(OC)=CC=C1OC)(C3CCCCC3)C4CCCCC4,0.0706915090428389,tAmOH,CCC(C)(C)O,1.0,0.0403793909496015,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.7415866380417799,1,True,NoAdditive,NoAdditive,"frozenset({nan, nan})",HighYield
ELN032036-538_1_1_A5,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.183854334763574,KOH,[OH-].[K+],2.002515711204913,meCgPPh,CS(=O)(=O)O[Pd]c1ccccc1-c2ccccc2N.CC34CC5(C)OC(C)(CC(C)(O3)P5c6ccccc6)O4,0.0665569408948276,tAmOH,CCC(C)(C)O,1.0,0.5399014225085089,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.0,0,True,NoAdditive,NoAdditive,"frozenset({nan, nan})",VLowYield
ELN032036-538_1_1_A6,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.2060323606382588,KOH,[OH-].[K+],2.061006428174233,XPhos,CS(=O)(=O)O[Pd]c1ccccc1-c2ccccc2N.CC(C)c3cc(C(C)C)c(c(c3)C(C)C)-c4ccccc4P(C(C)(C)C)C(C)(C)C,0.0815533207051547,tAmOH,CCC(C)(C)O,1.0,0.0,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.7951367192923365,1,True,NoAdditive,NoAdditive,"frozenset({nan, nan})",HighYield
ELN032036-538_1_1_A7,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.246787021196003,KOH,[OH-].[K+],2.08247449971523,IHept,CCCC(CCC)c1cccc(C(CCC)CCC)c1N2C(=C(Cl)N(C2=[Pd](Cl)Cl)c3c(cccc3C(CCC)CCC)C(CCC)CCC)Cl.Clc4cccnc4,0.0760548673042907,tAmOH,CCC(C)(C)O,1.0,0.220640702352125,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.4447078112115838,1,True,NoAdditive,NoAdditive,"frozenset({nan, nan})",MidYield
ELN032036-538_1_1_A8,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.1001046975780435,KOH,[OH-].[K+],1.934690754049816,CataCXiumA,CCCCP(C12CC3CC(CC(C3)C1)C2)C45CC6CC(CC(C6)C4)C5.Cl[Pd]CC=C,0.0714067899825566,tAmOH,CCC(C)(C)O,1.0,0.5153822227334094,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.0,0,True,NoAdditive,NoAdditive,"frozenset({nan, nan})",VLowYield
ELN032036-538_1_1_A9,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.2120444214288593,KOH,[OH-].[K+],2.0193713365307007,IPENT Cl,CCC(CC)c1cccc(C(CC)CC)c1N2C(=C(Cl)N(C2=[Pd](Cl)Cl)c3c(cccc3C(CC)CC)C(CC)CC)Cl.Cc4ccccn4,0.0839375532450546,tAmOH,CCC(C)(C)O,1.0,0.1057552394678864,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.6499294088589507,1,True,NoAdditive,NoAdditive,"frozenset({nan, nan})",HighYield
ELN032036-538_1_1_A10,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.1898131331332438,KOH,[OH-].[K+],2.0125951500385337,P(tBu)3,Cl[Pd](C/C=C/C)[P](C(C)(C)C)(C(C)(C)C)C(C)(C)C,0.0976843885817193,tAmOH,CCC(C)(C)O,1.0,0.0,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.8128244493379554,1,True,NoAdditive,NoAdditive,"frozenset({nan, nan})",HighYield
