rxn_id,rxn_type,rxn_date,temperature_deg_c,time_h,startingmat_1_name,startingmat_1_smiles,startingmat_1_eq,startingmat_2_name,startingmat_2_smiles,startingmat_2_eq,reagent_1_name,reagent_1_smiles,reagent_1_eq,catalyst_name,catalyst_smiles,catalyst_eq,solvent_1_name,solvent_1_smiles,solvent_1_fraction,startingmat_1_area%,product_1_name,product_1_smiles,product_1_area%,contains_water,additives_name_merged,additives_smiles_merged,additives_fraction_merged,YieldCategory
ELN032036-538_1_1_A1,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.3019428421057229,KOH,[OH-].[K+],2.100709189390856,GPhos,COc1ccc(OC(C)(C)C)c2c1[C]3(=C(C=CC=C3C(C)C)C(C)C)[Pd](Br)(c4ccc(cc4)C(F)(F)F)P2(C5CCCCC5)C6CCCCC6,0.084399135476205,tAmOH,CCC(C)(C)O,1.0,0.0,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.7449543993032143,True,NoAdditive,NoAdditive,"frozenset({nan, nan})",HighYield
ELN032036-538_1_1_A4,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.188263326351588,KOH,[OH-].[K+],2.089730255611245,BrettPhos,C/C=C/C[Pd](OS(=O)(C(F)(F)F)=O)[P](C1=C(C2=C(C(C)C)C=C(C(C)C)C=C2C(C)C)C(OC)=CC=C1OC)(C3CCCCC3)C4CCCCC4,0.0706915090428389,tAmOH,CCC(C)(C)O,1.0,0.0403793909496015,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.7415866380417799,True,NoAdditive,NoAdditive,"frozenset({nan, nan})",HighYield
ELN032036-538_1_1_A6,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.2060323606382588,KOH,[OH-].[K+],2.061006428174233,XPhos,CS(=O)(=O)O[Pd]c1ccccc1-c2ccccc2N.CC(C)c3cc(C(C)C)c(c(c3)C(C)C)-c4ccccc4P(C(C)(C)C)C(C)(C)C,0.0815533207051547,tAmOH,CCC(C)(C)O,1.0,0.0,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.7951367192923365,True,NoAdditive,NoAdditive,"frozenset({nan, nan})",HighYield
ELN032036-538_1_1_A7,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.246787021196003,KOH,[OH-].[K+],2.08247449971523,IHept,CCCC(CCC)c1cccc(C(CCC)CCC)c1N2C(=C(Cl)N(C2=[Pd](Cl)Cl)c3c(cccc3C(CCC)CCC)C(CCC)CCC)Cl.Clc4cccnc4,0.0760548673042907,tAmOH,CCC(C)(C)O,1.0,0.220640702352125,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.4447078112115838,True,NoAdditive,NoAdditive,"frozenset({nan, nan})",MidYield
ELN032036-538_1_1_A9,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.2120444214288593,KOH,[OH-].[K+],2.0193713365307007,IPENT Cl,CCC(CC)c1cccc(C(CC)CC)c1N2C(=C(Cl)N(C2=[Pd](Cl)Cl)c3c(cccc3C(CC)CC)C(CC)CC)Cl.Cc4ccccn4,0.0839375532450546,tAmOH,CCC(C)(C)O,1.0,0.1057552394678864,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.6499294088589507,True,NoAdditive,NoAdditive,"frozenset({nan, nan})",HighYield
ELN032036-538_1_1_A10,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.1898131331332438,KOH,[OH-].[K+],2.0125951500385337,P(tBu)3,Cl[Pd](C/C=C/C)[P](C(C)(C)C)(C(C)(C)C)C(C)(C)C,0.0976843885817193,tAmOH,CCC(C)(C)O,1.0,0.0,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.8128244493379554,True,NoAdditive,NoAdditive,"frozenset({nan, nan})",HighYield
ELN032036-538_1_1_B1,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.159118220043757,KOH,[OH-].[K+],1.98593914328328,GPhos,COc1ccc(OC(C)(C)C)c2c1[C]3(=C(C=CC=C3C(C)C)C(C)C)[Pd](Br)(c4ccc(cc4)C(F)(F)F)P2(C5CCCCC5)C6CCCCC6,0.0770211804410983,Dioxane,C1COCCO1,1.0,0.0,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.8784680811568709,True,NoAdditive,NoAdditive,"frozenset({nan, nan})",HighYield
ELN032036-538_1_1_B4,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.2637046253104744,KOH,[OH-].[K+],2.089730255611245,BrettPhos,C/C=C/C[Pd](OS(=O)(C(F)(F)F)=O)[P](C1=C(C2=C(C(C)C)C=C(C(C)C)C=C2C(C)C)C(OC)=CC=C1OC)(C3CCCCC3)C4CCCCC4,0.0691982367774642,Dioxane,C1COCCO1,1.0,0.0017304967492214,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.7784136976708598,True,NoAdditive,NoAdditive,"frozenset({nan, nan})",HighYield
ELN032036-538_1_1_B6,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.2160723366489687,KOH,[OH-].[K+],2.015977549201652,XPhos,CS(=O)(=O)O[Pd]c1ccccc1-c2ccccc2N.CC(C)c3cc(C(C)C)c(c(c3)C(C)C)-c4ccccc4P(C(C)(C)C)C(C)(C)C,0.0765441661364547,Dioxane,C1COCCO1,1.0,0.0,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.7130303294922333,True,NoAdditive,NoAdditive,"frozenset({nan, nan})",HighYield
ELN032036-538_1_1_B7,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.1247841877901843,KOH,[OH-].[K+],1.9728741839511312,IHept,CCCC(CCC)c1cccc(C(CCC)CCC)c1N2C(=C(Cl)N(C2=[Pd](Cl)Cl)c3c(cccc3C(CCC)CCC)C(CCC)CCC)Cl.Clc4cccnc4,0.0675493659453257,Dioxane,C1COCCO1,1.0,0.258335054842697,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.4378635061681803,True,NoAdditive,NoAdditive,"frozenset({nan, nan})",MidYield
