,reagent_type,reagent,count,reagent_type_numbered
0,S,THF,682.0,S1
1,S,tAmOH,611.0,S2
2,S,Dioxane,336.0,S3
3,S,EtOH,318.0,S4
4,S,PhMe,271.0,S5
5,S,Brij 35,248.0,S6
6,S,TBME,224.0,S7
7,S,MeTHF,187.0,S8
8,S,iPrOAc,168.0,S9
9,S,MeCN,110.0,S10
10,S,MeOH_S,87.0,S11
11,W,True,,W1
12,A,Potassium 2-ethylhexanoate,432.0,A1
13,A,MeOH_A,80.0,A2
14,C,Amphos,431.0,C1
15,C,SPhos,390.0,C2
16,C,CataCXiumA,366.0,C3
17,C,dppf,352.0,C4
18,C,dtbpf,298.0,C5
19,C,XPhos,295.0,C6
20,C,P(tBu)3,273.0,C7
21,C,DiMeIHept Cl,235.0,C8
22,C,XantPhos,210.0,C9
23,C,meCgPPh,130.0,C10
24,C,PPh3,111.0,C11
25,C,P(tBu)2Ph,51.0,C12
26,B,K3PO4,1120.0,B1
27,B,Cs2CO3,722.0,B2
28,B,Na2CO3,700.0,B3
29,B,K2CO3,349.0,B4
30,B,KOH,192.0,B5
31,B,DIPEA,163.0,B6
32,B,DBU,80.0,B7
33,B,NaHCO3,63.0,B8
