2025-08-11 13:43:00,762 INFO    MainThread:2769840 [wandb_setup.py:_flush():80] Current SDK version is 0.21.0
2025-08-11 13:43:00,763 INFO    MainThread:2769840 [wandb_setup.py:_flush():80] Configure stats pid to 2769840
2025-08-11 13:43:00,763 INFO    MainThread:2769840 [wandb_setup.py:_flush():80] Loading settings from /home/tarricol/.config/wandb/settings
2025-08-11 13:43:00,763 INFO    MainThread:2769840 [wandb_setup.py:_flush():80] Loading settings from /home/tarricol/AI_RCP_pub/wandb/settings
2025-08-11 13:43:00,763 INFO    MainThread:2769840 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-08-11 13:43:00,763 INFO    MainThread:2769840 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /home/tarricol/AI_RCP_pub/wandb/run-20250811_134300-3q2asfee/logs/debug.log
2025-08-11 13:43:00,763 INFO    MainThread:2769840 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /home/tarricol/AI_RCP_pub/wandb/run-20250811_134300-3q2asfee/logs/debug-internal.log
2025-08-11 13:43:00,763 INFO    MainThread:2769840 [wandb_init.py:init():830] calling init triggers
2025-08-11 13:43:00,763 INFO    MainThread:2769840 [wandb_init.py:init():835] wandb.init called with sweep_config: {}
config: {'wandb': True, 'wandb_save_model': True, 'verbose': True, 'random_seed': 42, 'device': 'cuda', 'iterid': 0, 'mode': 'trn', 'model_type': 'emb', 'filepath': 'data/bh_treshold_all_all_processed.npz', 'frac_tst': 0.2, 'n_folds': 5, 'addh': False, 'save_graphs': False, 'load_graphs': True, 'graph_path': None, 'stratification_method': 'iterative', 'stratify_top_k': 5, 'split_indices_path': 'data/split_indices.pkl', 'atom_emb': True, 'morfeus_init': True, 'ASE_opt': True, 'Geometry_opt_type': 'Auto3D', 'max_num_conformers': 3, 'emb_split': None, 'atom_emb_list': ['xtb', 'sasa'], 'emb_to_use': ['cb', 'sec'], 'save_embeddings': True, 'verbose_sec': False, 'batch_size': 128, 'shuffle': False, 'T_values': [1, 10, 50, 100, 500, 1000], 'n_sampling_val': 50, 'n_sampling_test': 1000, 'temperature': 1.0, 'compute_random_baselines': True, 'epochs': 200, 'lr': 0.001, 'weight_decay': 1e-10, 'weight_bce': 2, 'treshold': 0.4, 'class_weights': True, 'kl_annealing_epochs': 100, 'ss_mode': 'on', 'ss_epsilon_start': 1.0, 'ss_epsilon_end': 0.1, 'ss_decay_epochs': 100, 'config_file': 'configs/gen_config.yaml', '_wandb': {}}
2025-08-11 13:43:00,763 INFO    MainThread:2769840 [wandb_init.py:init():871] starting backend
2025-08-11 13:43:00,969 INFO    MainThread:2769840 [wandb_init.py:init():874] sending inform_init request
2025-08-11 13:43:00,972 INFO    MainThread:2769840 [wandb_init.py:init():882] backend started and connected
2025-08-11 13:43:00,973 INFO    MainThread:2769840 [wandb_init.py:init():953] updated telemetry
2025-08-11 13:43:00,974 INFO    MainThread:2769840 [wandb_init.py:init():977] communicating run to backend with 90.0 second timeout
2025-08-11 13:43:01,493 INFO    MainThread:2769840 [wandb_init.py:init():1029] starting run threads in backend
2025-08-11 13:43:01,613 INFO    MainThread:2769840 [wandb_run.py:_console_start():2458] atexit reg
2025-08-11 13:43:01,613 INFO    MainThread:2769840 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-08-11 13:43:01,613 INFO    MainThread:2769840 [wandb_run.py:_redirect():2375] Wrapping output streams.
2025-08-11 13:43:01,613 INFO    MainThread:2769840 [wandb_run.py:_redirect():2398] Redirects installed.
2025-08-11 13:43:01,614 INFO    MainThread:2769840 [wandb_init.py:init():1075] run started, returning control to user process
2025-08-11 13:43:08,842 INFO    MsgRouterThr:2769840 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
